year_ad,annual_mean_temp_degrees_celsius,annual_mean_y_precip_mm
1901,8.83,1071.26
1902,8.85,1017.68
1903,8.81,1370.8
1904,8.79,1085.16
1905,9.0,960.97
1906,9.01,1020.74
1907,8.69,1101.47
1908,9.35,1080.17
1909,8.62,994.39
1910,8.88,1176.0
1911,9.39,1067.51
1912,8.92,1133.28
1913,9.18,1171.3
1914,9.35,1176.0
1915,8.69,1147.14
1916,8.92,1293.55
1917,8.45,1041.17
1918,9.19,1220.37
1919,8.46,961.95
1920,9.23,1261.86
1921,10.21,957.57
1922,8.66,1011.51
1923,8.91,1232.65
1924,9.05,1380.22
1925,8.87,1094.42
1926,9.5,1068.07
1927,9.08,1224.1
1928,9.28,1394.25
1929,9.11,1204.17
1930,8.96,1343.4
1931,9.12,1200.41
1932,9.36,1077.76
1933,9.69,851.38
1934,9.68,1151.2
1935,9.32,1068.51
1936,9.25,1125.43
1937,9.12,1135.03
1938,9.62,1260.76
1939,9.44,1085.78
1940,9.33,1152.76
1941,9.02,1006.18
1942,9.2,1100.91
1943,9.76,1115.04
1944,9.54,1128.99
1945,10.15,1058.35
1946,9.26,1271.18
1947,9.22,1277.78
1948,9.78,1275.92
1949,10.3,1061.64
1950,9.16,1227.92
1951,8.96,1210.41
1952,9.07,938.01
1953,9.7,943.57
1954,9.13,1291.08
1955,9.27,1000.95
1956,9.05,1114.32
1957,9.69,1124.05
1958,9.3,1299.94
1959,10.07,1109.97
1960,9.27,1388.42
1961,9.41,1115.08
1962,8.59,1086.0
1963,8.44,1062.91
1964,9.34,1124.71
1965,8.69,1251.3
1966,9.23,1264.89
1967,9.08,1151.61
1968,9.18,1172.02
1969,8.96,965.37
1970,9.19,1117.25
1971,9.71,864.01
1972,8.84,1094.4
1973,9.47,1049.56
1974,9.09,1195.98
1975,9.68,944.2
1976,9.48,1030.26
1977,9.21,1186.23
1978,9.28,1117.57
1979,8.54,1217.04
1980,9.13,1248.28
1981,9.21,1183.39
1982,9.42,1294.12
1983,9.69,1138.95
1984,9.34,1125.07
1985,8.73,1176.76
1986,8.36,1273.75
1987,9.07,1037.14
1988,9.5,1235.33
1989,9.96,1056.7
1990,10.0,1193.79
1991,9.5,1074.42
1992,9.44,1136.8
1993,9.27,1232.64
1994,9.48,1312.17
1995,10.01,1158.88
1996,9.13,1146.77
1997,10.18,1150.4
1998,10.0,1318.77
1999,10.0,1264.76
2000,9.62,1288.24
2001,9.54,973.28
2002,9.9,1453.81
2003,10.01,1001.85
2004,9.89,1119.15
2005,10.02,1099.32
2006,10.14,1213.15
2007,10.27,1103.07
2008,9.64,1352.58
2009,9.66,1382.19
2010,8.71,1055.1
2011,9.76,1175.29
2012,9.5,1218.65
2013,9.49,1126.59
2014,10.09,1357.32
2015,9.44,1372.15
2016,9.75,1128.37
2017,9.99,1178.49
2018,9.69,1209.96
2019,9.86,1293.03
2020,9.78,1355.8
2021,9.94,1150.11
2022,10.35,1152.55
